indic_is,ind_type,geo\time,year,percent
I_IHIF,CB_NAT,BE,2016,49
I_IHIF,CB_NAT,BG,2016,24
I_IHIF,CB_NAT,CH,2016,: 
I_IHIF,CB_NAT,CY,2016,40
I_IHIF,CB_NAT,CZ,2016,46
I_IHIF,CB_NAT,DE,2016,63
I_IHIF,CB_NAT,DK,2016,65
I_IHIF,CB_NAT,EA,2016,49
I_IHIF,CB_NAT,EE,2016,58
I_IHIF,CB_NAT,EL,2016,41
I_IHIF,CB_NAT,ES,2016,49
I_IHIF,CB_NAT,EU15,2016,51
I_IHIF,CB_NAT,EU27,2016,48
I_IHIF,CB_NAT,EU28,2016,48
I_IHIF,CB_NAT,FI,2016,64
I_IHIF,CB_NAT,FR,2016,43
I_IHIF,CB_NAT,HR,2016,53
I_IHIF,CB_NAT,HU,2016,53
I_IHIF,CB_NAT,IE,2016,34
I_IHIF,CB_NAT,IS,2016,: 
I_IHIF,CB_NAT,IT,2016,33
I_IHIF,CB_NAT,LT,2016,45
I_IHIF,CB_NAT,LU,2016,68
I_IHIF,CB_NAT,LV,2016,40 b
I_IHIF,CB_NAT,ME,2016,: 
I_IHIF,CB_NAT,MK,2016,40
I_IHIF,CB_NAT,MT,2016,54
I_IHIF,CB_NAT,NL,2016,64
I_IHIF,CB_NAT,NO,2016,60
I_IHIF,CB_NAT,PL,2016,40
I_IHIF,CB_NAT,PT,2016,48
I_IHIF,CB_NAT,RO,2016,29
I_IHIF,CB_NAT,RS,2016,: 
I_IHIF,CB_NAT,SE,2016,63 b
I_IHIF,CB_NAT,SI,2016,50
I_IHIF,CB_NAT,SK,2016,45
I_IHIF,CB_NAT,UK,2016,56
I_IHIF,CC_EU_FOR,AT,2016,66
I_IHIF,CC_EU_FOR,BE,2016,50
I_IHIF,CC_EU_FOR,BG,2016,: u
I_IHIF,CC_EU_FOR,CH,2016,: 
I_IHIF,CC_EU_FOR,CY,2016,52
I_IHIF,CC_EU_FOR,CZ,2016,31
I_IHIF,CC_EU_FOR,DE,2016,60
I_IHIF,CC_EU_FOR,DK,2016,66
I_IHIF,CC_EU_FOR,EA,2016,47
I_IHIF,CC_EU_FOR,EE,2016,: u
I_IHIF,CC_EU_FOR,EL,2016,49 u
I_IHIF,CC_EU_FOR,ES,2016,50
I_IHIF,CC_EU_FOR,EU15,2016,51
I_IHIF,CC_EU_FOR,EU27,2016,51
I_IHIF,CC_EU_FOR,EU28,2016,51
I_IHIF,CC_EU_FOR,FI,2016,68 u
I_IHIF,CC_EU_FOR,FR,2016,35
I_IHIF,CC_EU_FOR,HR,2016,: u
I_IHIF,CC_EU_FOR,HU,2016,39 u
I_IHIF,CC_EU_FOR,IE,2016,45
I_IHIF,CC_EU_FOR,IS,2016,: 
I_IHIF,CC_EU_FOR,IT,2016,22
I_IHIF,CC_EU_FOR,LT,2016,: u
I_IHIF,CC_EU_FOR,LU,2016,72
I_IHIF,CC_EU_FOR,LV,2016,57 bu
I_IHIF,CC_EU_FOR,MK,2016,: u
I_IHIF,CC_EU_FOR,MT,2016,68 u
I_IHIF,CC_EU_FOR,NL,2016,67
I_IHIF,CC_EU_FOR,NO,2016,68 u
I_IHIF,CC_EU_FOR,PL,2016,: 
I_IHIF,CC_EU_FOR,PT,2016,38 u
I_IHIF,CC_EU_FOR,RO,2016,: u
I_IHIF,CC_EU_FOR,RS,2016,: 
I_IHIF,CC_EU_FOR,SE,2016,51 bu
I_IHIF,CC_EU_FOR,SI,2016,: u
I_IHIF,CC_EU_FOR,SK,2016,: u
I_IHIF,CC_EU_FOR,UK,2016,75
I_IHIF,CC_EXT_EU,AT,2016,63
I_IHIF,CC_EXT_EU,BE,2016,50
I_IHIF,CC_EXT_EU,BG,2016,31 u
I_IHIF,CC_EXT_EU,CH,2016,: 
I_IHIF,CC_EXT_EU,CY,2016,44
I_IHIF,CC_EXT_EU,CZ,2016,52
I_IHIF,CC_EXT_EU,DE,2016,54
I_IHIF,CC_EXT_EU,DK,2016,59
I_IHIF,CC_EXT_EU,EA,2016,37
I_IHIF,CC_EXT_EU,EE,2016,47
I_IHIF,CC_EXT_EU,EL,2016,24
I_IHIF,CC_EXT_EU,ES,2016,48
I_IHIF,CC_EXT_EU,EU15,2016,40
I_IHIF,CC_EXT_EU,EU27,2016,40
I_IHIF,CC_EXT_EU,EU28,2016,40
I_IHIF,CC_EXT_EU,FI,2016,: u
I_IHIF,CC_EXT_EU,FR,2016,34
I_IHIF,CC_EXT_EU,HR,2016,48 u
I_IHIF,CC_EXT_EU,HU,2016,68
I_IHIF,CC_EXT_EU,IE,2016,45
I_IHIF,CC_EXT_EU,IS,2016,: 
I_IHIF,CC_EXT_EU,IT,2016,17
I_IHIF,CC_EXT_EU,LT,2016,65 u
I_IHIF,CC_EXT_EU,LU,2016,81 u
I_IHIF,CC_EXT_EU,LV,2016,30 b
I_IHIF,CC_EXT_EU,MK,2016,: u
I_IHIF,CC_EXT_EU,MT,2016,: u
I_IHIF,CC_EXT_EU,NL,2016,67
I_IHIF,CC_EXT_EU,NO,2016,64 u
I_IHIF,CC_EXT_EU,PL,2016,: u
I_IHIF,CC_EXT_EU,PT,2016,54
I_IHIF,CC_EXT_EU,RO,2016,51
I_IHIF,CC_EXT_EU,RS,2016,: 
I_IHIF,CC_EXT_EU,SE,2016,40 bu
I_IHIF,CC_EXT_EU,SI,2016,35 u
I_IHIF,CC_EXT_EU,SK,2016,: u
I_IHIF,CC_EXT_EU,UK,2016,48
I_IHIF,CC_FOR,AT,2016,65
I_IHIF,CC_FOR,BE,2016,50
I_IHIF,CC_FOR,BG,2016,28 u
I_IHIF,CC_FOR,CH,2016,: 
I_IHIF,CC_FOR,CY,2016,49
I_IHIF,CC_FOR,CZ,2016,43
I_IHIF,CC_FOR,DE,2016,57
I_IHIF,CC_FOR,DK,2016,62
I_IHIF,CC_FOR,EA,2016,41
I_IHIF,CC_FOR,EE,2016,47
I_IHIF,CC_FOR,EL,2016,30
I_IHIF,CC_FOR,ES,2016,49
I_IHIF,CC_FOR,EU15,2016,45
I_IHIF,CC_FOR,EU27,2016,45
I_IHIF,CC_FOR,EU28,2016,45
I_IHIF,CC_FOR,FI,2016,71 u
I_IHIF,CC_FOR,FR,2016,35
I_IHIF,CC_FOR,HR,2016,43 u
I_IHIF,CC_FOR,HU,2016,61
I_IHIF,CC_FOR,IE,2016,45
I_IHIF,CC_FOR,IS,2016,: 
I_IHIF,CC_FOR,IT,2016,19
I_IHIF,CC_FOR,LT,2016,66 u
I_IHIF,CC_FOR,LU,2016,73
I_IHIF,CC_FOR,LV,2016,31 b
I_IHIF,CC_FOR,ME,2016,: 
I_IHIF,CC_FOR,MK,2016,: u
I_IHIF,CC_FOR,MT,2016,70 u
I_IHIF,CC_FOR,NL,2016,67
I_IHIF,CC_FOR,NO,2016,67
I_IHIF,CC_FOR,PL,2016,: u
I_IHIF,CC_FOR,PT,2016,51
I_IHIF,CC_FOR,RO,2016,50
I_IHIF,CC_FOR,RS,2016,: 
I_IHIF,CC_FOR,SE,2016,44 b
I_IHIF,CC_FOR,SI,2016,39
I_IHIF,CC_FOR,SK,2016,: u
I_IHIF,CC_FOR,UK,2016,57
I_IHIF,CC_NAT,AT,2016,54
I_IHIF,CC_NAT,BE,2016,49
I_IHIF,CC_NAT,BG,2016,24
I_IHIF,CC_NAT,CH,2016,: 
I_IHIF,CC_NAT,CY,2016,41
I_IHIF,CC_NAT,CZ,2016,46
I_IHIF,CC_NAT,DE,2016,63
I_IHIF,CC_NAT,DK,2016,65
I_IHIF,CC_NAT,EA,2016,49
I_IHIF,CC_NAT,EE,2016,59
I_IHIF,CC_NAT,EL,2016,41
I_IHIF,CC_NAT,ES,2016,49
I_IHIF,CC_NAT,EU15,2016,51
I_IHIF,CC_NAT,EU27,2016,48
I_IHIF,CC_NAT,EU28,2016,48
I_IHIF,CC_NAT,FI,2016,64
I_IHIF,CC_NAT,FR,2016,43
I_IHIF,CC_NAT,HR,2016,53
I_IHIF,CC_NAT,HU,2016,53
I_IHIF,CC_NAT,IE,2016,35
I_IHIF,CC_NAT,IS,2016,: 
I_IHIF,CC_NAT,IT,2016,33
I_IHIF,CC_NAT,LT,2016,44
I_IHIF,CC_NAT,LU,2016,69
I_IHIF,CC_NAT,LV,2016,40 b
I_IHIF,CC_NAT,ME,2016,: 
I_IHIF,CC_NAT,MK,2016,40
I_IHIF,CC_NAT,MT,2016,54
I_IHIF,CC_NAT,NL,2016,63
I_IHIF,CC_NAT,NO,2016,60
I_IHIF,CC_NAT,PL,2016,40
I_IHIF,CC_NAT,PT,2016,49
I_IHIF,CC_NAT,RO,2016,29
I_IHIF,CC_NAT,RS,2016,: 
I_IHIF,CC_NAT,SE,2016,62 b
I_IHIF,CC_NAT,SI,2016,49
I_IHIF,CC_NAT,SK,2016,45
I_IHIF,CC_NAT,UK,2016,56
I_IHIF,EMPL_UNE,AT,2016,60
I_IHIF,EMPL_UNE,BE,2016,54
I_IHIF,EMPL_UNE,BG,2016,29
I_IHIF,EMPL_UNE,CH,2016,: 
I_IHIF,EMPL_UNE,CY,2016,49
I_IHIF,EMPL_UNE,CZ,2016,50
I_IHIF,EMPL_UNE,DE,2016,68
I_IHIF,EMPL_UNE,DK,2016,68
I_IHIF,EMPL_UNE,EA,2016,54
I_IHIF,EMPL_UNE,EE,2016,61
I_IHIF,EMPL_UNE,EL,2016,50
I_IHIF,EMPL_UNE,ES,2016,56
I_IHIF,EMPL_UNE,EU15,2016,56
I_IHIF,EMPL_UNE,EU25,2016,: 
I_IHIF,EMPL_UNE,EU27,2016,53
I_IHIF,EMPL_UNE,EU28,2016,54
I_IHIF,EMPL_UNE,FI,2016,68
I_IHIF,EMPL_UNE,FR,2016,46
I_IHIF,EMPL_UNE,HR,2016,65
I_IHIF,EMPL_UNE,HU,2016,60
I_IHIF,EMPL_UNE,IE,2016,39
I_IHIF,EMPL_UNE,IS,2016,: 
I_IHIF,EMPL_UNE,IT,2016,37
I_IHIF,EMPL_UNE,LT,2016,52
I_IHIF,EMPL_UNE,LU,2016,71
I_IHIF,EMPL_UNE,LV,2016,44 b
I_IHIF,EMPL_UNE,ME,2016,: 
I_IHIF,EMPL_UNE,MK,2016,45
I_IHIF,EMPL_UNE,MT,2016,64
I_IHIF,EMPL_UNE,NL,2016,66
I_IHIF,EMPL_UNE,NO,2016,63
I_IHIF,EMPL_UNE,PL,2016,47
I_IHIF,EMPL_UNE,PT,2016,55
I_IHIF,EMPL_UNE,RO,2016,34
I_IHIF,EMPL_UNE,RS,2016,: 
I_IHIF,EMPL_UNE,SE,2016,65 b
I_IHIF,EMPL_UNE,SI,2016,57
I_IHIF,EMPL_UNE,SK,2016,48
I_IHIF,EMPL_UNE,TR,2016,49
I_IHIF,EMPL_UNE,UK,2016,60
I_IHIF,F_I0_2,AT,2016,33
I_IHIF,F_I0_2,BE,2016,38
I_IHIF,F_I0_2,BG,2016,6
I_IHIF,F_I0_2,CH,2016,: 
I_IHIF,F_I0_2,CY,2016,18
I_IHIF,F_I0_2,CZ,2016,26
I_IHIF,F_I0_2,DE,2016,51
I_IHIF,F_I0_2,DK,2016,67
I_IHIF,F_I0_2,EA,2016,32
I_IHIF,F_I0_2,EE,2016,51
I_IHIF,F_I0_2,EL,2016,17
I_IHIF,F_I0_2,ES,2016,32
I_IHIF,F_I0_2,EU15,2016,33
I_IHIF,F_I0_2,EU25,2016,: 
I_IHIF,F_I0_2,EU27,2016,31
I_IHIF,F_I0_2,EU28,2016,31
I_IHIF,F_I0_2,FI,2016,60
I_IHIF,F_I0_2,FR,2016,31
I_IHIF,F_I0_2,HR,2016,23
I_IHIF,F_I0_2,HU,2016,28
I_IHIF,F_I0_2,IE,2016,20
I_IHIF,F_I0_2,IS,2016,: 
I_IHIF,F_I0_2,IT,2016,17
I_IHIF,F_I0_2,LT,2016,28
I_IHIF,F_I0_2,LU,2016,68
I_IHIF,F_I0_2,LV,2016,27 b
I_IHIF,F_I0_2,ME,2016,: 
I_IHIF,F_I0_2,MK,2016,15
I_IHIF,F_I0_2,MT,2016,44
I_IHIF,F_I0_2,NL,2016,53
I_IHIF,F_I0_2,NO,2016,70
I_IHIF,F_I0_2,PL,2016,23
I_IHIF,F_I0_2,PT,2016,30
I_IHIF,F_I0_2,RO,2016,9
I_IHIF,F_I0_2,RS,2016,: 
I_IHIF,F_I0_2,SE,2016,51 b
I_IHIF,F_I0_2,SI,2016,26
I_IHIF,F_I0_2,SK,2016,23
I_IHIF,F_I0_2,TR,2016,20
I_IHIF,F_I0_2,UK,2016,36
I_IHIF,F_I3_4,AT,2016,60
I_IHIF,F_I3_4,BE,2016,53
I_IHIF,F_I3_4,BG,2016,30
I_IHIF,F_I3_4,CH,2016,: 
I_IHIF,F_I3_4,CY,2016,48
I_IHIF,F_I3_4,CZ,2016,62 b
I_IHIF,F_I3_4,DE,2016,74
I_IHIF,F_I3_4,DK,2016,71
I_IHIF,F_I3_4,EA,2016,60
I_IHIF,F_I3_4,EE,2016,63
I_IHIF,F_I3_4,EL,2016,48
I_IHIF,F_I3_4,ES,2016,63
I_IHIF,F_I3_4,EU15,2016,61
I_IHIF,F_I3_4,EU25,2016,: 
I_IHIF,F_I3_4,EU27,2016,57
I_IHIF,F_I3_4,EU28,2016,57
I_IHIF,F_I3_4,FI,2016,72
I_IHIF,F_I3_4,FR,2016,50
I_IHIF,F_I3_4,HR,2016,66
I_IHIF,F_I3_4,HU,2016,62
I_IHIF,F_I3_4,IE,2016,41
I_IHIF,F_I3_4,IS,2016,: 
I_IHIF,F_I3_4,IT,2016,43
I_IHIF,F_I3_4,LT,2016,42
I_IHIF,F_I3_4,LU,2016,80
I_IHIF,F_I3_4,LV,2016,45 b
I_IHIF,F_I3_4,ME,2016,: 
I_IHIF,F_I3_4,MK,2016,53
I_IHIF,F_I3_4,MT,2016,81
I_IHIF,F_I3_4,NL,2016,74
I_IHIF,F_I3_4,NO,2016,67
I_IHIF,F_I3_4,PL,2016,43
I_IHIF,F_I3_4,PT,2016,76
I_IHIF,F_I3_4,RO,2016,36
I_IHIF,F_I3_4,RS,2016,: 
I_IHIF,F_I3_4,SE,2016,67 b
I_IHIF,F_I3_4,SI,2016,55
I_IHIF,F_I3_4,SK,2016,48
I_IHIF,F_I3_4,TR,2016,69
I_IHIF,F_I3_4,UK,2016,61
I_IHIF,F_I5_8,AT,2016,73
I_IHIF,F_I5_8,BE,2016,70
I_IHIF,F_I5_8,BG,2016,60
I_IHIF,F_I5_8,CH,2016,: 
I_IHIF,F_I5_8,CY,2016,67
I_IHIF,F_I5_8,CZ,2016,74 b
I_IHIF,F_I5_8,DE,2016,81
I_IHIF,F_I5_8,DK,2016,84
I_IHIF,F_I5_8,EA,2016,70
I_IHIF,F_I5_8,EE,2016,76
I_IHIF,F_I5_8,EL,2016,68
I_IHIF,F_I5_8,ES,2016,73
I_IHIF,F_I5_8,EU15,2016,71
I_IHIF,F_I5_8,EU25,2016,: 
I_IHIF,F_I5_8,EU27,2016,71
I_IHIF,F_I5_8,EU28,2016,71
I_IHIF,F_I5_8,FI,2016,80
I_IHIF,F_I5_8,FR,2016,63
I_IHIF,F_I5_8,HR,2016,86
I_IHIF,F_I5_8,HU,2016,78
I_IHIF,F_I5_8,IE,2016,57
I_IHIF,F_I5_8,IS,2016,: 
I_IHIF,F_I5_8,IT,2016,57
I_IHIF,F_I5_8,LT,2016,76
I_IHIF,F_I5_8,LU,2016,78
I_IHIF,F_I5_8,LV,2016,61 b
I_IHIF,F_I5_8,ME,2016,: 
I_IHIF,F_I5_8,MK,2016,72
I_IHIF,F_I5_8,MT,2016,90
I_IHIF,F_I5_8,NL,2016,82
I_IHIF,F_I5_8,NO,2016,71
I_IHIF,F_I5_8,PL,2016,72
I_IHIF,F_I5_8,PT,2016,82
I_IHIF,F_I5_8,RO,2016,67
I_IHIF,F_I5_8,RS,2016,: 
I_IHIF,F_I5_8,SE,2016,80 b
I_IHIF,F_I5_8,SI,2016,75
I_IHIF,F_I5_8,SK,2016,69
I_IHIF,F_I5_8,TR,2016,84
I_IHIF,F_I5_8,UK,2016,72
I_IHIF,F_Y16_19,AT,2016,60
I_IHIF,F_Y16_19,BE,2016,58
I_IHIF,F_Y16_19,BG,2016,18
I_IHIF,F_Y16_19,CH,2016,: 
I_IHIF,F_Y16_19,CY,2016,48
I_IHIF,F_Y16_19,CZ,2016,29
I_IHIF,F_Y16_19,DE,2016,58
I_IHIF,F_Y16_19,DK,2016,75
I_IHIF,F_Y16_19,EA,2016,51
I_IHIF,F_Y16_19,EE,2016,78
I_IHIF,F_Y16_19,EL,2016,44
I_IHIF,F_Y16_19,ES,2016,47
I_IHIF,F_Y16_19,EU15,2016,54
I_IHIF,F_Y16_19,EU27,2016,50
I_IHIF,F_Y16_19,EU28,2016,50
I_IHIF,F_Y16_19,FI,2016,79 u
I_IHIF,F_Y16_19,FR,2016,52
I_IHIF,F_Y16_19,HR,2016,73 u
I_IHIF,F_Y16_19,HU,2016,55
I_IHIF,F_Y16_19,IE,2016,35 u
I_IHIF,F_Y16_19,IS,2016,: 
I_IHIF,F_Y16_19,IT,2016,26
I_IHIF,F_Y16_19,LT,2016,45
I_IHIF,F_Y16_19,LU,2016,77
I_IHIF,F_Y16_19,LV,2016,41 b
I_IHIF,F_Y16_19,ME,2016,: 
I_IHIF,F_Y16_19,MK,2016,: 
I_IHIF,F_Y16_19,MT,2016,81 u
I_IHIF,F_Y16_19,NL,2016,66
I_IHIF,F_Y16_19,NO,2016,77 u
I_IHIF,F_Y16_19,PL,2016,39
I_IHIF,F_Y16_19,PT,2016,75
I_IHIF,F_Y16_19,RO,2016,25
I_IHIF,F_Y16_19,RS,2016,: 
I_IHIF,F_Y16_19,SE,2016,64 bu
I_IHIF,F_Y16_19,SI,2016,77 u
I_IHIF,F_Y16_19,SK,2016,42
I_IHIF,F_Y16_19,TR,2016,48
I_IHIF,F_Y16_19,UK,2016,64 u
I_IHIF,F_Y16_24,AT,2016,72
I_IHIF,F_Y16_24,BE,2016,56
I_IHIF,F_Y16_24,BG,2016,28
I_IHIF,F_Y16_24,CH,2016,: 
I_IHIF,F_Y16_24,CY,2016,53
I_IHIF,F_Y16_24,CZ,2016,46
I_IHIF,F_Y16_24,DE,2016,64
I_IHIF,F_Y16_24,DK,2016,77
I_IHIF,F_Y16_24,EA,2016,58
I_IHIF,F_Y16_24,EE,2016,83
I_IHIF,F_Y16_24,EL,2016,53
I_IHIF,F_Y16_24,ES,2016,62
I_IHIF,F_Y16_24,EU15,2016,59
I_IHIF,F_Y16_24,EU25,2016,: 
I_IHIF,F_Y16_24,EU27,2016,56
I_IHIF,F_Y16_24,EU28,2016,57
I_IHIF,F_Y16_24,FI,2016,81
I_IHIF,F_Y16_24,FR,2016,58
I_IHIF,F_Y16_24,HR,2016,81
I_IHIF,F_Y16_24,HU,2016,57
I_IHIF,F_Y16_24,IE,2016,42
I_IHIF,F_Y16_24,IS,2016,: 
I_IHIF,F_Y16_24,IT,2016,34
I_IHIF,F_Y16_24,LT,2016,59
I_IHIF,F_Y16_24,LU,2016,75
I_IHIF,F_Y16_24,LV,2016,52 b
I_IHIF,F_Y16_24,ME,2016,: 
I_IHIF,F_Y16_24,MK,2016,62
I_IHIF,F_Y16_24,MT,2016,74
I_IHIF,F_Y16_24,NL,2016,69
I_IHIF,F_Y16_24,NO,2016,85
I_IHIF,F_Y16_24,PL,2016,49
I_IHIF,F_Y16_24,PT,2016,79
I_IHIF,F_Y16_24,RO,2016,33
I_IHIF,F_Y16_24,RS,2016,: 
I_IHIF,F_Y16_24,SE,2016,67 b
I_IHIF,F_Y16_24,SI,2016,62
I_IHIF,F_Y16_24,SK,2016,55
I_IHIF,F_Y16_24,TR,2016,54
I_IHIF,F_Y16_24,UK,2016,64
I_IHIF,F_Y16_29,AT,2016,74
I_IHIF,F_Y16_29,BE,2016,59
I_IHIF,F_Y16_29,BG,2016,34
I_IHIF,F_Y16_29,CH,2016,: 
I_IHIF,F_Y16_29,CY,2016,61
I_IHIF,F_Y16_29,CZ,2016,54
I_IHIF,F_Y16_29,DE,2016,71
I_IHIF,F_Y16_29,DK,2016,79
I_IHIF,F_Y16_29,EA,2016,61
I_IHIF,F_Y16_29,EE,2016,84
I_IHIF,F_Y16_29,EL,2016,59
I_IHIF,F_Y16_29,ES,2016,62
I_IHIF,F_Y16_29,EU15,2016,62
I_IHIF,F_Y16_29,EU27,2016,60
I_IHIF,F_Y16_29,EU28,2016,60
I_IHIF,F_Y16_29,FI,2016,85
I_IHIF,F_Y16_29,FR,2016,60
I_IHIF,F_Y16_29,HR,2016,82
I_IHIF,F_Y16_29,HU,2016,65
I_IHIF,F_Y16_29,IE,2016,45
I_IHIF,F_Y16_29,IS,2016,: 
I_IHIF,F_Y16_29,IT,2016,38
I_IHIF,F_Y16_29,LT,2016,62
I_IHIF,F_Y16_29,LU,2016,79
I_IHIF,F_Y16_29,LV,2016,60 b
I_IHIF,F_Y16_29,ME,2016,: 
I_IHIF,F_Y16_29,MK,2016,62
I_IHIF,F_Y16_29,MT,2016,77
I_IHIF,F_Y16_29,NL,2016,72
I_IHIF,F_Y16_29,NO,2016,86
I_IHIF,F_Y16_29,PL,2016,55
I_IHIF,F_Y16_29,PT,2016,79
I_IHIF,F_Y16_29,RO,2016,36
I_IHIF,F_Y16_29,RS,2016,: 
I_IHIF,F_Y16_29,SE,2016,70 b
I_IHIF,F_Y16_29,SI,2016,68
I_IHIF,F_Y16_29,SK,2016,58
I_IHIF,F_Y16_29,TR,2016,55
I_IHIF,F_Y16_29,UK,2016,64
I_IHIF,F_Y16_74,AT,2016,59
I_IHIF,F_Y16_74,BE,2016,54
I_IHIF,F_Y16_74,BG,2016,31
I_IHIF,F_Y16_74,CA,2016,: 
I_IHIF,F_Y16_74,CH,2016,: 
I_IHIF,F_Y16_74,CY,2016,47
I_IHIF,F_Y16_74,CZ,2016,59
I_IHIF,F_Y16_74,DE,2016,70
I_IHIF,F_Y16_74,DK,2016,73
I_IHIF,F_Y16_74,EA,2016,54
I_IHIF,F_Y16_74,EE,2016,67
I_IHIF,F_Y16_74,EL,2016,44
I_IHIF,F_Y16_74,ES,2016,53
